filename,kind,treatment,treatment_path,publication_status
AI Benchmark Mastery Scoring Guide.png,png,visual sidecar index and item-level sidecars,research/hmrc-beyond-hype/narrative/slides/ai-benchmark-mastery-scoring-guide/index.md,raw visual file remains local; derived sidecars/assets published
AI Coding Assistants 2026 Evolution.png,png,visual sidecar index and item-level sidecars,research/hmrc-beyond-hype/narrative/slides/ai-coding-assistants-2026-evolution/index.md,raw visual file remains local; derived sidecars/assets published
AI coding assistants on 9 May 2026 for the HMRC Data Science Academy talk.docx,docx,DOCX companion covered by the AI coding assistants source note,research/hmrc-beyond-hype/narrative/notes/ai-coding-assistants-market-briefing.md,raw DOCX remains local; Markdown equivalent and note published
AI coding assistants on 9 May 2026 for the HMRC Data Science Academy talk.md,markdown,market briefing source note and tracked Markdown source,research/hmrc-beyond-hype/narrative/notes/ai-coding-assistants-market-briefing.md,Markdown source and narrative note published
AI-Native Engineering Team Workflow.png,png,visual sidecar index and item-level sidecars,research/hmrc-beyond-hype/narrative/slides/ai-native-engineering-team-workflow/index.md,raw visual file remains local; derived sidecars/assets published
AI-Native-Engineering-Team-source_openAI.pdf,pdf,visual sidecar index and item-level sidecars,research/hmrc-beyond-hype/narrative/slides/ai-native-engineering-team-source-openai/index.md,raw visual file remains local; derived sidecars/assets published
AI-Native_Engineering_Blueprint.pptx,pptx,curated 15-slide deck route plus slide sidecars,research/hmrc-beyond-hype/narrative/slides/ai-native-engineering-blueprint/narrative-guide.md,raw visual file remains local; derived sidecars/assets published
Challenge_2_Unlocking_Dark_Data.pptx,pptx,visual sidecar index and item-level sidecars,research/hmrc-beyond-hype/narrative/slides/challenge-2-unlocking-dark-data/index.md,raw visual file remains local; derived sidecars/assets published
Dark_Data_Blueprint.pptx,pptx,visual sidecar index and item-level sidecars,research/hmrc-beyond-hype/narrative/slides/dark-data-blueprint/index.md,raw visual file remains local; derived sidecars/assets published
Engineering_Accountability_in_Public_Sector_AI.m4a,audio,Engineering Accountability In Public Sector AI transcript source note,research/hmrc-beyond-hype/narrative/notes/engineering-accountability-audio.md,raw audio remains local; transcripts and narrative note published
Governing_AI_Engineering.pptx,pptx,visual sidecar index and item-level sidecars,research/hmrc-beyond-hype/narrative/slides/governing-ai-engineering/index.md,raw visual file remains local; derived sidecars/assets published
Governing_agentic_AI_in_software_engineering.m4a,audio,Governing Agentic AI In Software Engineering transcript source note,research/hmrc-beyond-hype/narrative/notes/governing-agentic-ai-audio.md,raw audio remains local; transcripts and narrative note published
clawpilot.md,markdown,ClawPilot / Project Lobster sidebar note,research/hmrc-beyond-hype/narrative/notes/clawpilot-project-lobster.md,Markdown source and narrative note published
